method,model,n,start_index,judge_score_llama,judge_score_claude,judge_claude_justification,avg_edge_coherence,wall_time_seconds,api_cost_usd_extraction,api_cost_usd_claude_judge,narrative_ids
maps_algorithmic,,12,0,8.0,3,"While all documents reference the Chilean social uprising as a backdrop, the sequence lacks narrative coherence, mixing celebrity gossip, pseudoscientific commentary, government responses, and economic data without logical progression or thematic focus, making it feel like a random collection of articles rather than a coherent story.",0.539750643751838,0.1901473340112716,0.0,0.06885899999999999,art_0001;art_0019;art_0042;art_0056;art_0066;art_0117;art_0159;art_0168;art_0177;art_0182;art_0205;art_0229
maps_algorithmic,,12,150,8.0,4,"The narrative has a loose thematic connection around Chile's social unrest (estallido social of 2019) and its political aftermath, with several documents directly addressing the topic and its consequences. However, the sequence lacks tight logical progression and includes several tangential documents (Stratovarius concert interview, SIMCE education letter, fake news debate, Manuel Pellegrini interview, alcalde Carter demolitions) that only peripherally reference the estallido, disrupting narrative coherence.",0.5676965767687018,0.24842274992261082,0.0,0.059091000000000005,art_0699;art_0703;art_0713;art_0717;art_0722;art_0741;art_0745;art_0755;art_0759;art_0764;art_0769;art_0773
maps_algorithmic,,12,50,8.0,3,"The narrative loosely connects Chile's social unrest (estallido social) with the COVID-19 pandemic, showing how both crises intersected, but the documents are highly heterogeneous in topic, tone, and focus—ranging from Mexican feminist strikes, Harvey Weinstein's sentencing, economic analysis, metro station repairs, health worker testimonies, and a tribute to Felipe Camiroaga. The thematic thread is too weak and inconsistent to constitute a coherent narrative with clear logical and temporal progression.",0.5334603786468506,0.21742850006558,0.0,0.08791500000000001,art_0233;art_0238;art_0243;art_0247;art_0252;art_0261;art_0275;art_0280;art_0284;art_0289;art_0298;art_0303
maps_algorithmic,,12,100,8.0,4,"The narrative has a loose thematic connection around Chile's social unrest (estallido social of October 2019) and its political consequences, including the constitutional process, electoral campaigns, and social impacts. However, the documents are highly heterogeneous in focus—ranging from a novel interview, electoral franja analysis, constitutional convention debates, business bankruptcies, Argentine economic crisis, and a rap musician profile—lacking a clear narrative arc or logical progression that ties them into a coherent story.",0.6389660781080072,0.19909658294636756,0.0,0.088098,art_0466;art_0471;art_0485;art_0489;art_0499;art_0508;art_0527;art_0531;art_0545;art_0559;art_0568;art_0573
maps_algorithmic,,6,0,6.0,5,"The narrative has a loose thematic connection around Chile's 2019 social uprising (estallido social), with documents progressing chronologically from November to December 2019. However, the sequence lacks tight narrative cohesion, mixing celebrity reactions (Shirley Manson, Mon Laferte) with legal statistics, presidential interviews, and government analysis without clear logical transitions between documents.",0.6006335437297821,1.781159917009063,0.0,0.026061,art_0001;art_0005;art_0066;art_0094;art_0098;art_0112
maps_algorithmic,,6,150,8.0,2,"The narrative lacks coherent progression, as documents 1-4 relate to the third anniversary of Chile's 2019 social uprising, but documents 5 and 6 are entirely unrelated (a Stratovarius band interview and a letter about SIMCE education testing). Even among the first four documents, the connection is loose, with document 2 about email scandals being only tangentially related to the anniversary theme.",0.5567464470863343,0.2009756249608472,0.0,0.023829000000000003,art_0699;art_0703;art_0708;art_0713;art_0722;art_0741
maps_algorithmic,,6,50,8.0,3,"The narrative loosely connects the COVID-19 pandemic and Chile's social unrest (estallido social) as recurring themes, but the documents are highly disparate in topic, geography, and focus—ranging from Mexican feminist strikes to Italian lockdowns, economic forecasts, metro station reopenings, media trust surveys, legislative mechanisms, and detailed medical worker testimonies. There is no clear editorial thread or logical progression that intentionally builds one story from document to document.",0.5113829910755158,0.271104707964696,0.0,0.040437,art_0233;art_0238;art_0247;art_0257;art_0270;art_0275
maps_algorithmic,,6,100,8.0,3,"The narrative has a loose thematic connection around Chile's social unrest (estallido social) and political landscape in 2021, but the documents lack a clear logical or causal progression — they jump between a novelist's interview, electoral campaign coverage, Cuban protests, presidential candidate debates, and a young writer discussing polyamory. The sequence feels more like a collection of contemporaneous news items than a coherent story with intentional narrative development.",0.6338535428047181,0.2397851669229567,0.0,0.042078000000000004,art_0466;art_0471;art_0480;art_0494;art_0503;art_0508
maps_algorithmic,,18,0,8.0,5,"The narrative maintains a loose thematic coherence around Chile's 2019 social uprising (estallido social), covering events from October 2019 through April 2020 in roughly chronological order. However, it lacks a focused narrative thread, mixing highly relevant political and social analysis documents with tangential pieces (celebrity reactions, a priest exorcist, K-pop Twitter rankings, a triathlete's opinion) that weaken the overall storytelling progression.",0.5629719886928797,0.19822291599120945,0.0,0.078765,art_0001;art_0005;art_0019;art_0042;art_0080;art_0089;art_0112;art_0122;art_0131;art_0149;art_0163;art_0187;art_0196;art_0210;art_0229;art_0238;art_0247
maps_algorithmic,,18,150,8.0,4,"The narrative has a loose thematic connection around Chile's 'estallido social' of 2019 and its political aftermath, but lacks tight logical or temporal progression, mixing highly relevant documents (constitutional process, security, Boric's approval) with tangentially related ones (Stratovarius concert, urban gardens, Pellegrini interview). Many documents feel like peripheral mentions of the estallido rather than a coherent story building toward a clear narrative arc.",0.6282186438055599,0.18886408302932978,0.0,0.089688,art_0699;art_0703;art_0717;art_0722;art_0736;art_0745;art_0750;art_0759;art_0764;art_0769;art_0773;art_0783;art_0797;art_0806;art_0815;art_0824;art_0834;art_0843
